"﻿""REF_DATE""",GEO,DGUID,Investment status,Ownership type,Property type,Period of construction,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types","Total, all periods of construction",Number,Number,223,units,0,v1484730177,387.1.1.1.1.1,63630,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types","Total, all periods of construction",Percentage - investment status,Percent,239,units,0,v1484730178,387.1.1.1.1.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types","Total, all periods of construction",Average assessment value,Dollars,81,units,0,v1484730179,387.1.1.1.1.3,600000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types","Total, all periods of construction",Median assessment value,Dollars,81,units,0,v1484730180,387.1.1.1.1.4,527000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types","Total, all periods of construction",Total assessment value,Dollars,81,units,0,v1484730181,387.1.1.1.1.5,36233600000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types","Total, all periods of construction",Average total living area,Square feet,279,units,0,v1484730182,387.1.1.1.1.6,1880,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types","Total, all periods of construction",Median total living area,Square feet,279,units,0,v1484730183,387.1.1.1.1.7,1710,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1960 or earlier,Number,Number,223,units,0,v1484730184,387.1.1.1.2.1,8910,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1960 or earlier,Percentage - investment status,Percent,239,units,0,v1484730185,387.1.1.1.2.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1960 or earlier,Average assessment value,Dollars,81,units,0,v1484730186,387.1.1.1.2.3,730000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1960 or earlier,Median assessment value,Dollars,81,units,0,v1484730187,387.1.1.1.2.4,577000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1960 or earlier,Total assessment value,Dollars,81,units,0,v1484730188,387.1.1.1.2.5,6344000000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1960 or earlier,Average total living area,Square feet,279,units,0,v1484730189,387.1.1.1.2.6,1930,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1960 or earlier,Median total living area,Square feet,279,units,0,v1484730190,387.1.1.1.2.7,1770,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1961 to 1970,Number,Number,223,units,0,v1484730191,387.1.1.1.3.1,6915,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1961 to 1970,Percentage - investment status,Percent,239,units,0,v1484730192,387.1.1.1.3.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1961 to 1970,Average assessment value,Dollars,81,units,0,v1484730193,387.1.1.1.3.3,650000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1961 to 1970,Median assessment value,Dollars,81,units,0,v1484730194,387.1.1.1.3.4,547000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1961 to 1970,Total assessment value,Dollars,81,units,0,v1484730195,387.1.1.1.3.5,4412300000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1961 to 1970,Average total living area,Square feet,279,units,0,v1484730196,387.1.1.1.3.6,1900,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1961 to 1970,Median total living area,Square feet,279,units,0,v1484730197,387.1.1.1.3.7,1760,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1971 to 1980,Number,Number,223,units,0,v1484730198,387.1.1.1.4.1,11520,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1971 to 1980,Percentage - investment status,Percent,239,units,0,v1484730199,387.1.1.1.4.2,100,,,,1
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1971 to 1980,Average assessment value,Dollars,81,units,0,v1484730200,387.1.1.1.4.3,520000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1971 to 1980,Median assessment value,Dollars,81,units,0,v1484730201,387.1.1.1.4.4,480000,,,,0
2021,"Burlington, City",2016A00053524002,"Total, all investment property statuses","Total, all ownership types","Total, all property types",1971 to 1980,Total assessment value,Dollars,81,units,0,v1484730202,387.1.1.1.4.5,5938400000,,,,0
