;0 - 14;15 - 24;25 - 34;35 - 44;45 - 54;55 - 64;Total 65+;Total
Barrie;35,23;26,355;24,775;26,09;30,845;24,925;26,225;194,45
Bracebridge T;2,185;1,67;1,585;1,53;2,265;2,65;3,69;15,565
Brantford;23,57;16,08;15,945;16,455;18,855;18,895;21,84;131,64
Brighton MU;1,48;1,03;900;1,015;1,49;1,955;3,285;11,16
Brock TP;1,875;1,275;1,235;1,22;1,745;1,815;2,2;11,36
Brockville;5,14;4,21;3,73;3,915;5,52;6,365;8,85;37,735
Centre Wellington;4,895;3,255;2,905;3,29;3,955;4,08;5,25;27,635
Chatham-Kent;16,72;11,605;10,58;10,85;14,22;16,07;19,73;99,775
Cobourg;2,435;1,89;1,615;1,825;2,36;3,125;5,475;18,72
Collingwood;3,12;2,075;2,285;2,365;2,645;3,43;5,225;21,145
Cornwall;9,315;6,695;6,425;6,24;8,015;9,265;12,18;58,13
Elliot Lake;1,11;755;785;785;1,205;2,01;3,93;10,585
Erin T;1,745;1,54;910;1,29;2,265;1,935;1,72;11,405
Gravenhurst T;1,405;965;1,1;1,07;1,55;2,05;2,95;11,095
Greater Napanee T;2,33;1,59;1,505;1,68;2,175;2,595;3,485;15,36
Greater Sudbury / Grand Sudbury;25,535;19,825;19,96;20,12;24,275;23,985;28,12;161,815
Guelph;25,755;20,59;20,72;19,9;22,09;19,345;21,63;150,025
Haldimand County CY;7,705;5,64;4,765;4,89;6,825;7,39;7,815;45,025
Hamilton;122,25;92,42;92,715;92,9;109,35;100,925;124,33;734,88
Hawkesbury;1,575;1,16;1,085;1,155;1,68;2,065;2,8;11,53
Huntsville T;2,83;2,09;2,095;2,125;2,875;3,32;4,04;19,375
Ingersoll;2,335;1,57;1,53;1,58;1,935;1,77;1,865;12,58
Kawartha Lakes;9,865;7,74;6,89;6,985;10,505;13,47;17,925;73,375
Kenora;2,415;1,74;1,685;1,675;2,13;2,42;2,725;14,79
Kincardine MU;1,845;1,105;1,37;1,225;1,35;1,955;2,315;11,165
Kingston;23,885;20,03;20,465;18,135;22,32;22,61;29,015;156,465
Kitchener - Cambridge - Waterloo;92,22;71,38;72,69;69,155;75,65;64,84;70,15;516,08
Lambton Shores MU;1,305;895;830;930;1,37;2,11;2,94;10,385
London;81,05;65,325;65,22;60,025;69,32;66,38;79,18;486,505
Meaford MU;1,415;995;925;1,04;1,45;2,04;2,98;10,845
Midland;4,775;3,515;3,69;3,585;5,055;6,16;7,865;34,66
Norfolk;9,695;7,1;6,22;6,26;8,705;10,84;13,61;62,43
North Bay;10,49;8,11;8,26;7,78;10,29;10,755;13,035;68,71
North Perth MU;2,67;1,67;1,61;1,49;1,595;1,73;2,17;12,94
Orillia;4,39;3,585;3,71;3,075;4,09;4,63;6,475;29,955
Oshawa;69,145;49,175;45,865;50,93;59,18;48,685;52,625;375,605
Ottawa;155,44;124,855;124,525;121,38;137,975;120,33;132,355;916,855
Owen Sound;4,525;3,44;3,335;3,14;4,265;5,23;6,845;30,775
Pembroke;3,47;2,53;2,81;2,47;3,245;3,495;4,415;22,435
Petawawa;3,8;1,835;3,79;2,22;2,025;1,25;1,4;16,32
Peterborough;17,795;14,805;14,33;12,715;15,765;18,58;24,795;118,775
Port Hope;2,175;1,73;1,635;1,655;2,42;2,84;3,825;16,28
Prince Edward County CY;2,83;2,135;1,89;2,185;3,4;4,655;7,01;24,105
Sarnia;14,705;11,045;11,085;10,37;12,695;15,55;19,44;94,885
Saugeen Shores T;1,97;1,205;1,645;1,39;1,595;2,475;3,15;13,425
Sault Ste. Marie;11,28;8,84;8,81;8,385;10,78;12,555;16,015;76,67
Scugog TP;3,135;2,58;1,99;2,21;3,36;3,71;4,265;21,25
St. Catharines - Niagara;58,98;48,645;44,325;44,43;57,625;60,97;81,89;396,865
Stratford;4,645;3,6;3,54;3,645;4,38;4,935;5,875;30,625
The Nation / La Nation M;2,41;1,45;1,775;1,71;2,055;1,74;1,41;12,545
Thunder Bay;17,735;14,865;14,58;13,48;17,115;18,91;22,19;118,875
Tillsonburg;2,34;1,63;1,595;1,69;1,995;2,17;4,17;15,595
Timmins;7,125;5,13;5,24;5,265;6,165;6,35;5,95;41,23
Toronto;983,755;774,945;840,77;817,135;896,025;734,76;815,455;5,862,855
Trent Hills MU;1,72;1,08;1,08;1,155;1,735;2,485;3,355;12,605
West Grey MU;1,885;1,29;1,095;1,215;1,835;2,165;2,755;12,24
West Nipissing / Nipissing Ouest M;2,155;1,36;1,3;1,53;2,055;2,465;3,17;14,035
Windsor;54,965;43,86;37,58;40,465;49,02;45,535;53,575;325,005
Woodstock;6,84;4,625;5,375;5,115;5,575;5,385;7,065;39,98
Ontario;2,203,720;1,695,800;1,727,995;1,703,455;1,979,110;1,818,565;2,113,520;13,242,160
