Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female
Population and dwellings,Population; 2016,1,306233,,,...,
Population and dwellings,Population; 2011,1,288301,,,...,
Population and dwellings,Population percentage change; 2011 to 2016,,6.2,,,...,
Population and dwellings,Total private dwellings,2,96657,,,...,
Population and dwellings,Private dwellings occupied by usual residents,3,94253,,,...,
Population and dwellings,Population density per square kilometre,,1119.4,,,...,
Population and dwellings,Land area in square kilometres,,273.56,,,...,
Age characteristics,Total - Age groups and average age of the population - 100% data,4,306230,,149055,,157175
Age characteristics,  0 to 14 years,,57525,,29380,,28145
Age characteristics,    0 to 4 years,,16265,,8265,,8000
Age characteristics,    5 to 9 years,,19965,,10250,,9720
Age characteristics,    10 to 14 years,,21300,,10870,,10425
Age characteristics,  15 to 64 years,,205235,,99450,,105785
Age characteristics,    15 to 19 years,,21280,,10830,,10450
Age characteristics,    20 to 24 years,,20285,,10470,,9810
Age characteristics,    25 to 29 years,,17105,,8500,,8605
Age characteristics,    30 to 34 years,,16825,,7980,,8845
Age characteristics,    35 to 39 years,,19430,,8875,,10550
Age characteristics,    40 to 44 years,,23345,,10905,,12440
Age characteristics,    45 to 49 years,,25440,,12185,,13255
Age characteristics,    50 to 54 years,,24480,,11970,,12515
Age characteristics,    55 to 59 years,,20805,,10085,,10715
Age characteristics,    60 to 64 years,,16250,,7650,,8595
Age characteristics,  65 years and over,,43470,,20220,,23250
Age characteristics,    65 to 69 years,,14645,,7015,,7630
Age characteristics,    70 to 74 years,,9645,,4670,,4975
Age characteristics,    75 to 79 years,,8165,,3855,,4310
Age characteristics,    80 to 84 years,,5680,,2625,,3055
Age characteristics,    85 years and over,,5340,,2065,,3275
Age characteristics,      85 to 89 years,,3335,,1370,,1970
Age characteristics,      90 to 94 years,,1585,,565,,1020
Age characteristics,      95 to 99 years,,375,,115,,255
Age characteristics,      100 years and over,,45,,10,,35
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100
Age characteristics,  0 to 14 years,,18.8,,19.7,,17.9
Age characteristics,  15 to 64 years,,67,,66.7,,67.3
Age characteristics,  65 years and over,,14.2,,13.6,,14.8
Age characteristics,    85 years and over,,1.7,,1.4,,2.1
Age characteristics,Average age of the population,,39.2,,38.4,,39.9
Age characteristics,Median age of the population,,40.2,,39.2,,40.9
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,5,94250,,,...,
Household and dwelling characteristics,  Single-detached house,,61215,,,...,
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,9805,,,...,
Household and dwelling characteristics,  Other attached dwelling,6,23230,,,...,
Household and dwelling characteristics,    Semi-detached house,,7685,,,...,
Household and dwelling characteristics,    Row house,,10175,,,...,
Household and dwelling characteristics,    Apartment or flat in a duplex,,3345,,,...,
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,,1990,,,...,
Household and dwelling characteristics,    Other single-attached house,,30,,,...,
Household and dwelling characteristics,  Movable dwelling,7,5,,,...,
Household and dwelling characteristics,Total - Private households by household size - 100% data,8,94255,,,...,
Household and dwelling characteristics,  1 person,,12155,,,...,
Household and dwelling characteristics,  2 persons,,22760,,,...,
Household and dwelling characteristics,  3 persons,,18295,,,...,
Household and dwelling characteristics,  4 persons,,24125,,,...,
Household and dwelling characteristics,  5 or more persons,,16920,,,...,
Household and dwelling characteristics,Number of persons in private households,,304145,,,...,
Household and dwelling characteristics,Average household size,,3.2,,,...,
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,9,248705,,119675,,129035
Marital status,  Married or living common law,,154490,,76905,,77585
Marital status,    Married,,147520,,73440,,74080
Marital status,    Living common law,,6965,,3460,,3500
Marital status,  Not married and not living common law,,94215,,42770,,51450
Marital status,    Never married,,67875,,35590,,32280
Marital status,    Separated,,4860,,1860,,3005
Marital status,    Divorced,,9385,,3195,,6195
Marital status,    Widowed,,12095,,2125,,9965
Family characteristics,Total - Census families in private households by family size - 100% data,10,86550,,,...,
Family characteristics,  2 persons,,29480,,,...,
Family characteristics,  3 persons,,20825,,,...,
Family characteristics,  4 persons,,25825,,,...,
Family characteristics,  5 or more persons,,10420,,,...,
Family characteristics,Average size of census families,,3.2,,,...,
Family characteristics,Total number of census families in private households - 100% data,11,86550,,,...,
Family characteristics,  Total couple families,,75390,,,...,
Family characteristics,    Married couples,,71910,,,...,
Family characteristics,    Common-law couples,,3480,,,...,
Family characteristics,  Total lone-parent families by sex of parent,,11165,,,...,
Family characteristics,    Female parent,,9030,,,...,
Family characteristics,    Male parent,,2130,,,...,
Family characteristics,Total - Couple census families in private households - 100% data,,75390,,,...,
Family characteristics,  Couples without children,,23350,,,...,
Family characteristics,  Couples with children,,52035,,,...,
Family characteristics,    1 child,,17075,,,...,
Family characteristics,    2 children,,24810,,,...,
Family characteristics,    3 or more children,,10145,,,...,
Family characteristics,Total - Lone-parent census families in private households - 100% data,,11165,,,...,
Family characteristics,  1 child,,6130,,,...,
Family characteristics,  2 children,,3745,,,...,
Family characteristics,  3 or more children,,1285,,,...,
Family characteristics,Total - Persons not in census families in private households - 100% data,,24455,,9305,,15145
Household type,Total - Private households by household type - 100% data,12,94255,,,...,
Household type,  One-census-family households,,75520,,,...,
Household type,    Without children in a census family,13,18965,,,...,
Household type,    With children in a census family,14,56560,,,...,
Household type,  Multiple-census-family households,,5310,,,...,
Household type,  Non-census-family households,,13415,,,...,
Household type,    One-person households,,12155,,,...,
Household type,    Two-or-more person non-census-family households,,1265,,,...,
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15,304640,,148590,,156055
Knowledge of official languages,  English only,,272895,,135900,,136995
Knowledge of official languages,  French only,,165,,65,,105
Knowledge of official languages,  English and French,,19125,,7895,,11225
Knowledge of official languages,  Neither English nor French,,12455,,4725,,7730
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,16,304640,,148585,,156055
First official language spoken,  English,,287380,,141715,,145665
First official language spoken,  French,,2185,,970,,1210
First official language spoken,  English and French,,2805,,1280,,1520
First official language spoken,  Neither English nor French,,12280,,4625,,7655
First official language spoken,Official language minority (number),17,3585,,1610,,1975
First official language spoken,Official language minority (percentage),17,1.2,,1.1,,1.3
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,18,304640,,148590,,156055
Mother tongue,  Single responses,,292200,,142635,,149565
Mother tongue,    Official languages,,139610,,70330,,69275
Mother tongue,      English,,137720,,69475,,68245
Mother tongue,      French,,1885,,850,,1035
Mother tongue,    Non-official languages,,152585,,72305,,80285
Mother tongue,      Aboriginal languages,,15,,5,,5
Mother tongue,        Algonquian languages,,5,,5,,5
Mother tongue,          Blackfoot,,0,,5,,0
